,Zone,Exact position,Action 1,Outcome 1,Action 2,Outcome 2,Reward,d_predicted,d_test,Exploration rate
0,A,0.9536241719019812,1,0.9536241719019812,2,0.9536241719019812,0.0,0.0,4.535000381499101,1.0
1,A,1.1234791329202758,0,1.0,1,1.1234791329202758,0.0,-0.5734845399856567,1.1755372652489173,0.994
2,B,2.210170476843289,3,-1.0,1,-1.0,4.322890134744739e-08,0.5100829601287842,0.7196192241319715,0.988
3,A,0.8439414708579417,1,0.8439414708579417,4,-1.0,0.0,-1.799005389213562,1.3197877369366946,0.982
4,A,1.7348784525979708,0,1.0,2,-1.0,0.0,-1.4126683473587036,3.1680198362865855,0.976
5,A,0.9180257378951918,1,0.9180257378951918,4,-1.0,0.0,-1.6334924697875977,0.42589203826178723,0.97
6,A,1.154784339056694,0,1.0,3,-1.0,0.0,-1.7810032367706299,1.7527098011422952,0.964
7,A,0.8584176417906428,1,0.8584176417906428,2,-1.0,0.0,-0.7051961421966553,1.1659126852137127,0.958
8,A,1.7371600984525428,2,-1.0,0,1.0,4.8366629812335304e-08,0.7740026712417603,1.090468256026525,0.952
9,B,2.425982698401047,2,2.425982698401047,2,2.425982698401047,0.0,-0.5411449670791626,2.8332596061398645,0.946
10,A,1.9760768421420476,0,1.0,2,-1.0,0.0,-1.095131754875183,0.5196560274624656,0.94
11,A,0.986600033677634,0,1.0,4,-1.0,0.0,-2.0423309803009033,1.9457057873157102,0.9339999999999999
12,B,2.993438538833798,3,-1.0,2,2.993438538833798,0.24293555319309235,0.6950424313545227,0.7588725913614657,0.9279999999999999
13,B,3.396394217461953,4,-1.0,3,-1.0,0.0,0.5220193862915039,7.552750165709863,0.9219999999999999
14,B,2.5657902893738482,3,-1.0,3,-1.0,0.0,0.18296745419502258,1.0801314349190358,0.9159999999999999
15,A,1.04134413441151,3,-1.0,4,-1.0,0.0,-0.08727529644966125,0.31552917805097014,0.9099999999999999
16,A,0.9159842430568359,3,-1.0,2,-1.0,6.428154697245067e-37,0.570343017578125,1.6088819549682878,0.9039999999999999
17,A,1.0665104445102715,0,1.0,1,1.0665104445102715,0.0,-0.42208901047706604,2.0124709200376296,0.8979999999999999
18,D,7.0614245933157855,4,7.0614245933157855,2,-1.0,0.0,-0.19812969863414764,5.833424342739399,0.8919999999999999
19,A,1.555816815983646,0,1.0,1,1.555816815983646,0.0,-0.2974112331867218,1.9356743003971884,0.8859999999999999
20,A,1.3449773655286186,0,1.0,4,-1.0,0.0,-1.6588865518569946,0.38629872083119476,0.8799999999999999
21,A,0.8491257865993321,3,-1.0,2,-1.0,2.4686444363136066e-34,0.7073715925216675,1.8715011974794429,0.8739999999999999
